sku,upc,image_url
"BP-40084176","40084176","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945017/balport-products/seeded/kv5yhc5jazvwnwscay1w.jpg"
"BP-40144399","BP-40144399","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1774015027/balport-products/hfqxffpbfrfbhxa3kd2u.jpg"
"BP-40345123","BP-40345123","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1774014804/balport-products/jixjvxs6prlshkvuuyrt.webp"
"BP-41508015","BP-41508015","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1774014867/balport-products/zuy8j0erzyfth0zmizba.webp"
"BP-59070689","BP-59070689","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1774014929/balport-products/lxuzmazohlccbk7npo4d.jpg"
"BP-75050061","75050061","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945027/balport-products/seeded/pcjsdvpx5rsnm7a9tyvc.jpg"
"BP-80052760","80052760","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945029/balport-products/seeded/weqotjayfjpzii3qtdrg.jpg"
"BP-80177609","80177609","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945030/balport-products/seeded/fkwghtm8z8cl5lnobd2s.jpg"
"BP-80761761","80761761","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945032/balport-products/seeded/ha0xeotkcvhaatqg2u01.jpg"
"BP-80769507","80769507","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945034/balport-products/seeded/rntbyqqnmqzckzne15on.jpg"
"BP-80874652","80874652","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945036/balport-products/seeded/lukdghembwrraij2ghmu.jpg"
"BP-9060000029","9060000029","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945039/balport-products/seeded/heb3ciob56qgnb55klbj.jpg"
"BP-9060000036","9060000036","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945040/balport-products/seeded/i6bviu0ij6vqcguzsnng.jpg"
"BP-9060000081","BP-9060000081","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1774015314/balport-products/n5zhky4dyysfzdjvzvlq.webp"
"BP-9800001033","9800001033","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945044/balport-products/seeded/d4jekv4baxpmkyu7tqur.jpg"
"BP-9800007462","9800007462","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945046/balport-products/seeded/n49zvn2ad2lufguze4fm.jpg"
"BP-9800007615","9800007615","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945047/balport-products/seeded/gi5brrjusbzzqqaiaugk.jpg"
"BP-9800123018","9800123018","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945049/balport-products/seeded/z0zkfp0audblgcwkcwik.jpg"
"BP-9800800056","9800800056","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945050/balport-products/seeded/lxdyijkqhmfovzhs2h1f.jpg"
"BP-9800802203","9800802203","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945052/balport-products/seeded/ktsltt3cpgsd7d6jb0bg.jpg"
"BP-9800895007","9800895007","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945054/balport-products/seeded/sjj4gacjs0qap7akw8v1.jpg"
"BP-10465208903","10465208903","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945056/balport-products/seeded/gtuet84eiqu1ilekvlrl.jpg"
"BP-10465709608","10465709608","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945057/balport-products/seeded/j7zhf6s8mrghx4op2xj0.jpg"
"BP-10700021526","10700021526","https://res.cloudinary.com/balport/image/upload/v1/placeholder.jpg"
"BP-10700024404","BP-10700024404","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945059/balport-products/seeded/xkeyx7mzrlm8z1my2g6z.jpg"
"BP-10700530202","10700530202","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945061/balport-products/seeded/poysqshplszexx44kmzz.jpg"
"BP-10700557100","10700557100","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945063/balport-products/seeded/z9cr3al8kxr19ihez52p.jpg"
"BP-10700557308","10700557308","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945065/balport-products/seeded/kenvgtb2j5cgb7ri1fp7.jpg"
"BP-10700702029","10700702029","https://res.cloudinary.com/balport/image/upload/v1/placeholder.jpg"
"BP-10700702302","10700702302","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945069/balport-products/seeded/bvrk5wsa06vpldsqlepc.jpg"
"BP-10700702623","10700702623","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945071/balport-products/seeded/itfai0pxzozcabxtujp9.jpg"
"BP-10700807229","10700807229","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945074/balport-products/seeded/e6xxpmq0qeswuoroly34.jpg"
"BP-10700807274","10700807274","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945076/balport-products/seeded/ndhcwaxthvw4rfjcyg2b.jpg"
"BP-10900080316","10900080316","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945078/balport-products/seeded/qvxyommqlclrjfurbi14.jpg"
"BP-10986002226","10986002226","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945080/balport-products/seeded/poevhllazgcfks4sjli6.jpg"
"BP-10986002813","10986002813","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945082/balport-products/seeded/ctczjwnbzzmmgkxvdueb.jpg"
"BP-10986010351","10986010351","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945084/balport-products/seeded/as0ji5krmcccb8usbnvi.jpg"
"BP-10986010863","10986010863","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945086/balport-products/seeded/wtunusaipmzgi0s3vghl.jpg"
"BP-11034410055","11034410055","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945093/balport-products/seeded/mk2y4y21xgybsbsp5pkk.jpg"
"BP-11034420054","11034420054","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945095/balport-products/seeded/hjcboc57fptc14jxxavu.jpg"
"BP-11034420078","11034420078","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945097/balport-products/seeded/mta4e3smeciohccuhqlt.jpg"
"BP-11210000018","11210000018","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945099/balport-products/seeded/fvu7ls9hilmznyfuqxhf.jpg"
"BP-11594275668","11594275668","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945101/balport-products/seeded/mw7ndtqbkbfze3lyci2u.jpg"
"BP-11594275675","11594275675","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945103/balport-products/seeded/ozmlflcomd9jmbhi4xmc.jpg"
"BP-11594275699","11594275699","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945106/balport-products/seeded/ug9wxlls4odpbbzhma61.jpg"
"BP-11594275705","11594275705","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945108/balport-products/seeded/nqwctbt3d7i48y2gbwq2.jpg"
"BP-11594275712","11594275712","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945110/balport-products/seeded/xlrome8pvqk1eusv4xi4.jpg"
"BP-12000000133","12000000133","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945112/balport-products/seeded/nlnglxaxxn3gi3ef3lqe.jpg"
"BP-12000000850","12000000850","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945114/balport-products/seeded/oeha5ghbr5gtlajhxkpp.jpg"
"BP-12000001291","12000001291","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945116/balport-products/seeded/imhfsbkvmgzg0fkfmpav.jpg"
"BP-12000001314","12000001314","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945117/balport-products/seeded/atsc05mxyptkum0u8dto.jpg"
"BP-12000001345","12000001345","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945120/balport-products/seeded/iangzkc2wjs35dpimtns.jpg"
"BP-12000001574","12000001574","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945122/balport-products/seeded/gg3djcjl9k1sthzqejzy.jpg"
"BP-12000001598","12000001598","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945123/balport-products/seeded/t6t6kpyzpyog8i5asa9f.jpg"
"BP-12000001772","12000001772","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945126/balport-products/seeded/xrpv2txnxxhie2isa0nk.jpg"
"BP-12000001802","12000001802","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945128/balport-products/seeded/mckq6or2hnmk789bu0qi.jpg"
"BP-12000002090","12000002090","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945130/balport-products/seeded/sjjdao4adtdgecfoodln.jpg"
"BP-12000002304","12000002304","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945131/balport-products/seeded/p5p7qj1ltrflmvckzbzm.jpg"
"BP-12000002946","12000002946","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945134/balport-products/seeded/whficd0n5we31gnkel1p.jpg"
"BP-12000002977","12000002977","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945137/balport-products/seeded/rpfeiquza7ds7g3udb1u.jpg"
"BP-12000004520","12000004520","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945141/balport-products/seeded/h9pmkshorybzu7tfy6yl.jpg"
"BP-12000005596","12000005596","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945143/balport-products/seeded/tv52oubg9yempootrcuf.jpg"
"BP-12000007293","12000007293","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945146/balport-products/seeded/wvp3tjl1nogrs3zjhu1z.jpg"
"BP-12000008801","12000008801","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945148/balport-products/seeded/tzdwgz8dvm96voappvll.jpg"
"BP-12000016721","12000016721","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945150/balport-products/seeded/ockt67gtkv6l5ddo68xo.jpg"
"BP-12000018800","12000018800","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945152/balport-products/seeded/otkowkuvu8tjzxiizuzs.jpg"
"BP-12000021381","12000021381","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945154/balport-products/seeded/xii0og8nzdd6bgvkhk3f.jpg"
"BP-12000024528","12000024528","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945156/balport-products/seeded/vo6jql6f4mcmolelzfjl.jpg"
"BP-12000027215","12000027215","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945158/balport-products/seeded/cle2pe0snxapqokogxcr.jpg"
"BP-12000028458","12000028458","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945160/balport-products/seeded/jw3jebpyfeghyosecfdt.jpg"
"BP-12000028472","12000028472","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945163/balport-products/seeded/xa2co7ek9pqugqwfhsfu.jpg"
"BP-12000028496","12000028496","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945165/balport-products/seeded/uyns97j2ijwxurnu9rwg.jpg"
"BP-12000030284","12000030284","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945167/balport-products/seeded/rrw22eleieh9f9j301mg.jpg"
"BP-12000038488","12000038488","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945169/balport-products/seeded/ae2c0xdgmfgod1pbh9nc.jpg"
"BP-12000046445","12000046445","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945171/balport-products/seeded/ybzvtvltqukozcqkmkc7.jpg"
"BP-12000064500","12000064500","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945173/balport-products/seeded/lxcsrja5pxvglipjzod8.jpg"
"BP-12000071751","12000071751","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945175/balport-products/seeded/skc2hwurpuhkiifthhw4.jpg"
"BP-12000101908","12000101908","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945177/balport-products/seeded/j8rkhadg5wju4qdm9bwi.jpg"
"BP-12000130274","12000130274","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945179/balport-products/seeded/z0g2tk9uc4fxfxilauu8.jpg"
"BP-12000140709","12000140709","https://res.cloudinary.com/ddhs5dd6l/image/upload/v1773945181/balport-products/seeded/ievhs1rrklstrtbrezs2.jpg"
