Aisle,Item Name,Price,UPC
ACCESSORIES,Sun Glasses,$17.99,499973370102
ACCESSORIES,Surfewax,$3.99,499733700057
ACCESSORIES,REYNOLDS WRAP 30 SQ FT,$5.99,010900080316
ACCESSORIES,Old Spice High Endurance Pure Sport Scent Men's Deodorant,$6.99,012044000274
ACCESSORIES,GLAD CLING WRAP,$4.99,012587000106
ACCESSORIES,KITCHEN BAGS 15 BAG,$8.99,012587000700
ACCESSORIES,TRASH BAG 30 GALLON,$8.99,012587000809
ACCESSORIES,GLAD SMALL TRASH BAGS,$4.99,012587788172
ACCESSORIES,PROPAN,$14.99,014045031165
ACCESSORIES,SOS PADS,$4.99,016500980414
ACCESSORIES,PLASTIC PLATE SET 40 COUNT,$17.99,018068117110
ACCESSORIES,Cutter 1,$3.99,018505144259
ACCESSORIES,Drano Liquid Drain Cleaner,$10.99,019800001162
ACCESSORIES,Windex: Original w/ Ammonia,$9.99,019800701956
ACCESSORIES,SCOTCH-BRITE SPONGE1,$2.99,021200000003
ACCESSORIES,Scotch Magic 3M,$3.99,021200010224
ACCESSORIES,SCOTCH TAPE,$3.99,021200010231
ACCESSORIES,"Tape Clear Packing 1.89"""" X 55YD",$4.99,021854005003
ACCESSORIES,SPEED STICK REG 3 OZ,$6.99,022200941525
ACCESSORIES,SPEED STICK POWER 3.oz,$5.99,022200951043
ACCESSORIES,Lady Speed Stick Antiperspirant Deodorant,$3.99,022200963435
ACCESSORIES,LADY STICK DRY 1.4OZ,$3.99,022200963695
ACCESSORIES,Pedigree:Meaty Ground Dinner w/Chunky Beef Bacon & Cheese,$5.99,023100010182
ACCESSORIES,Pedigree:Meaty Ground Dinner Chopped Combo w/Chicken Beef & Liver,$6.99,023100010786
ACCESSORIES,Pedigree Choice Cuts In Gravy w/Beef,$5.99,023100015309
ACCESSORIES,Puppy Complete Nutrition Dry Dog Food,$19.99,023100103655
ACCESSORIES,Chevron:ATF MD-3,$7.99,023968397692
ACCESSORIES,Birthday Candles,$3.99,024291150138
ACCESSORIES,SCISSOR,$4.99,024291150350
ACCESSORIES,CORKSCREW BOTTLE OPENER,$3.99,024291150695
ACCESSORIES,HAIR TIE,$3.99,024291151067
ACCESSORIES,BALL TIP BRUDH,$3.99,024291159087
ACCESSORIES,ZIPLOC STORAGE QUART 24CT,$4.99,025700003304
ACCESSORIES,ZIPLOC 50 SAD,$6.99,025700013563
ACCESSORIES,SWISHER SWEETS,$1.99,025900445522
ACCESSORIES,CHARC-LTR FLUID 16,$6.99,028617009162
ACCESSORIES,Charcoal Lighter Fluid,$9.99,028617009322
ACCESSORIES,GoodSense Food Storage Bags,$3.99,029900212139
ACCESSORIES,ALWAYS MAXI,$10.99,030772033999
ACCESSORIES,HEAD&SHOULDERS  2 IN 1,$8.99,030772062807
ACCESSORIES,DAWN ULTRA,$4.99,030772081242
ACCESSORIES,FEBREZE FABRIC EXTRA STRENGTH,$7.99,030772088586
ACCESSORIES,DAWN ULTRA,$6.99,030772094037
ACCESSORIES,ORAL-B GLIDE,$31.99,030772200803
ACCESSORIES,COLGATE CAVITY PROTECTION,$7.99,035000444356
ACCESSORIES,COLGATE TRIPLE ACTION 60% FREE,$8.99,035000444424
ACCESSORIES,COLGATE TOTAL ACTIVE PREVENTION,$8.99,035000463760
ACCESSORIES,Colgate Cavity Protection Toothpaste Regular,$7.99,035000510853
ACCESSORIES,CO;GATE ACTIVE PROTECTION,$8.99,035000510884
ACCESSORIES,Colgate Triple Action Original Mint,$5.99,035000511102
ACCESSORIES,COLGATE  1 OZ,$2.99,035000511119
ACCESSORIES,Lavender Multi-Purpose Cleaner 33 oz,$10.99,035000530967
ACCESSORIES,Colgate Extra Clean Med,$3.99,035000551146
ACCESSORIES,TOOTHBRUSH,$2.99,035000556769
ACCESSORIES,SUAVITEL  COMPLETE,$3.99,035000980113
ACCESSORIES,Kleenex:Pocket Pack,$2.99,036000123234
ACCESSORIES,CREST FLUORIDE,$8.99,037000003106
ACCESSORIES,TIDE ORIGINAL 10 OZ,$4.99,037000004714
ACCESSORIES,DOWNY 587 ML.,$7.99,037000106135
ACCESSORIES,"Always Infinity W/FlexFoan Pads, Heavy Flow, 16 pads",$10.99,037000117148
ACCESSORIES,SECRET DEODORANT,$4.99,037000124450
ACCESSORIES,GAIN ORIGINAL 25 OZ.,$10.99,037000127833
ACCESSORIES,TIDE ORIGINAL 25 OZ,$13.99,037000138754
ACCESSORIES,Tide Pods Spring Meadow,$14.99,037000509547
ACCESSORIES,CREST PLUS,$5.99,037000513117
ACCESSORIES,DOWNY - FABRIC SOFTNER,$4.99,037000524014
ACCESSORIES,FEBREZE - LINEN & SKY,$5.99,037000811138
ACCESSORIES,FEBREZE - CAR MIDNIGHTY STORM,$5.99,037000811169
ACCESSORIES,Mr. Clean:Extra Power - 11.8 x 6.1 x 1.8 cm (4.6 x 2.4 x 0.70 in),$8.99,037000820383
ACCESSORIES,PUFFS BASIC,$4.99,037000847366
ACCESSORIES,BOUNCE SHEETS 15CT,$3.99,037000958604
ACCESSORIES,FEBREZE AIR MIST,$8.99,037000970828
ACCESSORIES,SQUID,$10.99,040232624506
ACCESSORIES,Duraflame:Xtra Firelog,$10.99,041137001072
ACCESSORIES,RED SOLO PLATES,$8.99,041165022001
ACCESSORIES,SOLO BOWL 22 COUNT,$8.99,041165025156
ACCESSORIES,SOLO CUPS,$9.99,041165600100
ACCESSORIES,PARTY CUP CLEAR 20PK,$4.99,041303023983
ACCESSORIES,TOOTHPICKS,$3.99,041303024119
ACCESSORIES,"Duracell Battery, Alkaline, 9V1",$8.99,041333116013
ACCESSORIES,Duracell Coppertop D Alkaline Batteries,$7.99,041333213019
ACCESSORIES,Duracell Coppertop C2 Alkaline Batteries,$7.99,041333214016
ACCESSORIES,Duracell Coppertop Duralock Power Preserve Aa Alkaline Batteries,$5.99,041333215013
ACCESSORIES,Duracell Coppertop:Two Pack,$5.99,041333224015
ACCESSORIES,Duracell Coppertop:Four Pack,$7.99,041333415017
ACCESSORIES,Duracell Coppertop:Four Pack,$7.99,041333424019
ACCESSORIES,Blistex Complete Moisture,$5.99,041388220550
ACCESSORIES,50 cups,$9.99,041594424032
ACCESSORIES,ZIPPO,$21.99,041689112059
ACCESSORIES,Zippo Lighter Fluid,$6.99,041689300494
ACCESSORIES,KINGSFORD MATCH LIGHT 4 LB,$10.99,044600320700
ACCESSORIES,KINGSFORD MATCH LIGHT 4 LB,$14.99,044600320960
ACCESSORIES,CLOROX 24 oz,$7.99,044600322513
ACCESSORIES,deep   woods,$17.99,046500229305
ACCESSORIES,GILLETTE 3X GEL 2.5,$4.99,047400130920
ACCESSORIES,GILLETTE FOAMY 11 OZ,$5.99,047400240407
ACCESSORIES,DENTEK ADVANCED CLEAN,$3.99,047701110805
ACCESSORIES,Store shaving creme,$5.99,048155904750
ACCESSORIES,DOSPSAFLASK BLACK,$8.99,048843001006
ACCESSORIES,Friskies Wet:Classic Pate Turkey & Giblets Dinner,$3.99,050000421848
ACCESSORIES,Friskies Wet:Meaty Bits Chicken Dinner In Gravy,$2.99,050000421947
ACCESSORIES,Friskies Wet:Classic Pate Ocean Whitefish & Tuna Dinner,$2.99,050000424948
ACCESSORIES,Friskies Wet:Savory Shreds w/Salmon In Sauce (Ps #4121707),$2.99,050000572014
ACCESSORIES,Friskies Wet:Tasty Treasures With Chicken Tuna & Cheese In Gravy (Ps# 5159887),$2.99,050000577958
ACCESSORIES,clorex 1.27 l,$8.99,055500017263
ACCESSORIES,PALMOLIVE ORANGE,$4.99,058000311619
