Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,"Fee Multiplier",cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
"=""200001000003""",Pouches,1,1499,n,n,"ULTRA WATERMELON FOCUS","15 POUCHES",,n,1,1,769,n,,"=""89""",,,,,,n,,,,,,,
"=""499733700064""",ACCESSORIES,1,1999,n,n,"19.99 squshies",,,n,1,0,0,n,,"=""0""",,,,,,y,,,,,Dumbling,"19.99 squshies",2
"=""499733700071""",ACCESSORIES,1,1499,n,n,"14.99 squeshes",,,n,1,0,0,n,,"=""0""",,,,,,y,,,,,Dumbling,"14.99 squeshes",1
"=""499733700088""",ACCESSORIES,1,3499,n,n,"34.99 squeshes",,,n,1,0,0,n,,"=""0""",,,,,,y,,,,,Dumbling,"34.99 squeshes",3
"=""499733700019""",SYSTEM,1,0,n,n,TAXABLE,,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""499733700026""",ACCESSORIES,1,599,n,n,STICKERS,,,n,1,1,0,n,,"=""73""",,,,,,y,#ec407a,#f06292,,15,"in store",STICKERS,15
"=""499733700033""",Zyn,1,4499,n,n,"ROLL OF ZYN","5 PKS",,n,1,1,0,n,,"=""-127""",,,,,,y,#76ff03,#76ff03,,7,"in store","ROLL OF ZYN",7
"=""499733700040""",SYSTEM,1,200,n,n,"$ 2 FEE",,,n,1,1,0,n,,"=""21""",,,,,,y,#d50000,#d50000,,,"in store","$ 2 FEE",2
"=""499973370041""",Vape,1,2499,n,n,"Small Flum",,,n,1,1,1100,n,,"=""46""",,,,,,y,#42a5f5,#03a9f4,,12,"in store","Small Flum",12
"=""499973370058""",Vape,1,2699,n,n,"Big Flum",,,n,1,0,0,n,,"=""-7""",,,,,,y,#1565c0,#1565c0,,11,"in store","Big Flum",11
"=""499973370065""",Vape,1,2999,n,n,"Big Gee",,,n,1,0,0,n,,"=""-113""",,,,,,y,#81d4fa,#1a237e,,9,"in store","Big Gee",9
"=""499973370072""",Vape,1,2499,n,n,"Small Geek",,,n,1,0,0,n,,"=""9""",,,,,,y,#304ffe,#304ffe,,10,"in store","Small Geek",10
"=""499973370089""",ACCESSORIES,1,299,n,n,"Zip Bags",,,n,1,0,0,n,,"=""85""",,,,,,y,#fff59d,#fff59d,,5,"in store","Zip Bags",5
"=""499973370096""",Ice,1,199,n,n,"Cup of ice",,,n,1,0,0,n,,"=""74""",,,,,,y,#ffeb3b,#fdd835,,6,"in store","Cup of ice",6
"=""499973370102""",ACCESSORIES,1,1599,n,n,"Sun Glasses",,,n,1,0,0,n,,"=""68""",,,,,,y,#eeff41,#eeff41,,,"in store","Sun Glasses",14
"=""499973370119""","Fish Bait",1,999,n,n,"Fish Bait",,,n,1,0,0,n,,"=""48""",,,,,,y,#880e4f,#880e4f,,16,"in store","Fish Bait",16
"=""499733700057""",ACCESSORIES,1,299,n,n,Surfewax,,,n,1,0,0,n,,"=""65""",,,,,,y,#ffffff,#000000,,,"in store",Surfewax,17
"=""499973370126""",Tax,1,4999,n,n,"49.99 Dumbling",,,n,1,0,0,n,,"=""0""",,,,,,y,,,,,Dumbling,"49.99 Dumbling",999
"=""499973370133""",Tax,1,5999,n,n,"59.99 Dumbling",,,n,1,0,0,n,,"=""0""",,,,,,y,,,,,Dumbling,"59.99 Dumbling",999
"=""200031000004""",ACCESSORIES,1,2499,n,n,"ANKER NO #1",,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""203026000003""","Wine General",1,4699,n,n,"Pears Triumph De Vienne (3026)","750 ml",,n,2,1,3000,n,,"=""0""",,,,,,n,,,,,,,
"=""272051000005""","Wine Cabernet Sauvignon",1,2274,n,n,"Paso Robles Austin Cabernet Sauvignon","750 ml",,n,2,1,1466,n,,"=""99""",,,,,,n,,,,,,,
"=""285246000001""",Whiskey,1,2999,n,n,"Makers mark 750",,,n,2,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""286043000003""","Healthy Soda",1,321,n,n,"OLIPOP GOODWIN 12 OZ","12 OZ",,n,1,1,148,n,,"=""15""",,,,,,n,,,,,,,
"=""290003000002""","Hanging Snacks",1,599,n,n,"PLANTERS WHITE CHOCOLATE MACADAMIA TRAIL MIX",,,y,1,1,287,n,,"=""0""",,,,,,n,,,,,,,
"=""000002754154""",Water,1,99,n,n,"Niagara, Purified Drinking Water","16.9 oz",,n,1,1,14,n,,"=""720""",,,,,,n,,,,,,,
"=""000004124498""","Non-Alcoholic Beer & Wine",1,299,n,n,"MARTINELLI'S PURE APPLE JUICE 10OZ","10 oz",,n,1,1,125,n,,"=""24""",,,,,,n,,,,,,,
"=""000004976400""",Soda,1,399,n,n,"SPRITE SODA 20OZ","20 oz",,n,1,1,156,n,,"=""23""",,,,,,n,,,,,,,
"=""000004979708""",Soda,1,399,n,n,"COCA COLA DIET SODA 24OZ","24 oz",,n,1,1,179,n,,"=""24""",,,,,,n,,,,,,,
"=""15030207""",Tequila,1,1699,n,n,"OCEANO AZUL","750 ML",,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""30063068""","Chips - Frito-Lay",1,269,n,n,"Dorito salsa verde",,,n,1,1,180,n,,"=""0""",,,,,,n,,,,,,,
"=""40084176""","Candy and Choclate",1,249,n,n,"KINDER COUNTRY BAR","23.5 G",,n,1,1,63,n,,"=""-2""",,,,,,n,,,,,,,
"=""40144399""","Candy and Choclate",1,199,n,n,"KNOPPERS CRISPY CHOCOLATE","25 G",,n,1,1,100,n,,"=""91""",,,,,,n,,,,,,,
"=""40345123""",Grocery,1,249,n,n,SMARTIES,,,n,1,1,110,n,,"=""0""",,,,,0,n,,,,,,,
"=""41508015""","SPARKLING WATER",1,199,n,n,"MAISON PERRIER","11.5 oz",,n,1,1,100,n,,"=""0""",,,,,0,n,,,,,,,
"=""50201013""","Candy and Choclate",1,299,n,n,FLAKE,,,n,1,1,120,n,,"=""0""",,,,,0,n,,,,,,,
"=""59070689""","Gum & Breath Refreshing",1,249,n,n,"HALLS LIME",,,n,1,1,104,n,,"=""0""",,,,,,n,,,,,,,
"=""75050054""",SYSTEM,1,10,n,n,delet,,,n,1,1,2,n,,"=""88""",,,,,,n,,,,,,,
"=""75050061""",Grocery,1,10,n,n,"Pica limon",,,n,1,0,0,n,,"=""89""",,,,,,n,,,,,,,
"=""80052760""","Candy and Choclate",1,399,n,n,"KINDER BUENO","21.5 G",,n,1,1,120,n,,"=""87""",,,,,,n,,,,,,,
"=""80177609""","Candy and Choclate",1,399,n,n,"KINDER CHOCOLATE","2 OZ",,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""80761761""","Candy and Choclate",1,299,n,n,"KINDER BUENO WHITE","43 G",,n,1,30,3600,n,,"=""0""",,,,,,n,,,,,,,
"=""80769507""","Candy and Choclate",1,299,n,n,"HELLO KITTY",,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""80874652""","Candy and Choclate",1,199,n,n,"KINDER CARDS",,,n,1,0,0,n,,"=""-1""",,,,,,n,,,,,,,
"=""000236773211""",ACCESSORIES,1,999,n,n,"Choclate bear",,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""000579000265""","Red Wine",1,4499,n,n,"PINE RIDGE TRAVELERS CAB SAUV 2023 750ML","750 ml",,n,1,1,2800,n,,"=""13""",,,,,,n,,,,,,,
"=""008068601252""","Ready-to-Drink (RTD)",1,1299,n,n,"OTR PINA COLADA","355 ML",,n,14,1,837,n,,"=""6""",,,,,,n,,,,,,,
"=""008660000019""","Rolling Papers & Wraps",1,299,n,n,"Zig Zag Braunstein Freres","=""1""",,n,1,1,0,n,,"=""99""",,,,,,n,,,,,,,
"=""008660000026""","Rolling Papers & Wraps",1,299,n,n,"Zig-Zag Slow Burning Wrapping Paper","1 ct",,n,1,1,156,n,,"=""90""",,,,,,n,,,,,,,
"=""008660000071""","Rolling Papers & Wraps",1,299,n,n,"ZigZag Cigarette Paper King","=""1""",,n,1,1,0,n,,"=""99""",,,,,,n,,,,,,,
"=""008660007322""","Rolling Papers & Wraps",1,299,n,n,"Zig Zag Ultra Thin","=""1""",,n,1,1,0,n,,"=""96""",,,,,,n,,,,,,,
"=""008853997577""",BEER,1,1299,n,n,"714 BLONDE ALE","4 PK",,n,4,1,716,n,,"=""98""",,,,,,n,,,,,,,
"=""008853998161""","IPA Beer",1,1399,n,n,"RECURSION IPA","4 PK",,n,4,1,883,n,,"=""98""",,,,,,n,,,,,,,
"=""009060000029""",Gummy,1,199,n,n,"Mega Warheads:Candy, Strawberry","1.50 OZ",,n,1,1,0,n,,"=""95""",,,,,,n,,,,,,,
"=""009060000036""",Gummy,1,199,n,n,"The Foreign Candy Company:Rip Rolls, Blue Raspberry","1.50 OZ",,n,1,1,0,n,,"=""97""",,,,,,n,,,,,,,
"=""009060000043""",Gummy,1,199,n,n,"Mega Warheads:Candy, Sour Apple","1.50 OZ",,n,1,1,0,n,,"=""98""",,,,,,n,,,,,,,
"=""009060000081""",Gummy,1,199,n,n,"Rip Rolls Rainbow Reaction",".78 oz",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""009060000098""",Gummy,1,199,n,n,"RIP ROLLS CHERRY CEREZA","=""1""",,n,1,1,0,n,,"=""98""",,,,,,n,,,,,,,
"=""009800000524""",ACCESSORIES,1,299,n,n,"Kinder 1","=""1""",,n,1,1,0,n,,"=""99""",,,,,,n,,,,,,,
