Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,"Fee Multiplier",cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
"=""499733700019""",Tax,1,0,n,n,TAXABLE,,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""499733700026""",ACCESSORIES,1,599,n,n,STICKERS,,,n,1,1,0,n,,"=""0""",,,,,,y,#ec407a,#f06292,,15,"in store",STICKERS,15
"=""499733700033""","Zyn 1",1,4499,n,n,"ROLL OF ZYN","5 PKS",,n,1,1,0,n,,"=""0""",,,,,,y,#76ff03,#76ff03,,7,"in store","ROLL OF ZYN",7
"=""499733700040""","2 FEE",1,200,y,n,"$ 2 FEE",,,n,1,1,0,n,,"=""0""",,,,,,y,#d50000,#d50000,,,"in store","$ 2 FEE",2
"=""499973370041""",va,1,2499,n,n,"Small Flum",,,n,1,1,1100,n,,"=""0""",,,,,,y,#42a5f5,#03a9f4,,12,"in store","Small Flum",12
"=""499973370058""",va,1,2699,n,n,"Big Flum",,,n,1,0,0,n,,"=""0""",,,,,,y,#1565c0,#1565c0,,11,"in store","Big Flum",11
"=""499973370065""",va,1,2999,n,n,"Big Gee",,,n,1,0,0,n,,"=""0""",,,,,,y,#1a237e,#1a237e,,9,"in store","Big Gee",9
"=""499973370072""",va,1,2499,n,n,"Small Geek",,,n,1,0,0,n,,"=""0""",,,,,,y,#304ffe,#304ffe,,10,"in store","Small Geek",10
"=""499973370089""",Ice,1,299,n,n,"Zip Bags",,,n,1,0,0,n,,"=""0""",,,,,,y,#fff59d,#fff59d,,5,"in store","Zip Bags",5
"=""499973370096""",Ice,1,199,n,n,"Cup of ice",,,n,1,0,0,n,,"=""0""",,,,,,y,#ffeb3b,#fdd835,,6,"in store","Cup of ice",6
"=""499973370102""",ACCESSORIES,1,1599,n,n,"Sun Glasses",,,n,1,0,0,n,,"=""0""",,,,,,y,#eeff41,#eeff41,,,"in store","Sun Glasses",14
"=""499973370119""","Fish Bait",1,999,n,n,"Fish Bait",,,n,1,0,0,n,,"=""0""",,,,,,y,#880e4f,#880e4f,,,"in store","Fish Bait",16
"=""499733700057""",ACCESSORIES,1,299,n,n,Surfewax,,,n,1,0,0,n,,"=""0""",,,,,,y,#ffffff,#000000,,,"in store",Surfewax,17
"=""203026000003""",Wine1,1,4699,n,n,"Pears Triumph De Vienne (3026)","750 ml",,n,2,1,3000,n,,"=""0""",,,,,0,n,,,,,,,
"=""272051000005""","WINE CABERNET SAUVIGNON 1",1,2195,n,n,"PASO ROBLES AUSTIN CABERNET SAUVIGNON","750 ml",,n,2,1,1466,n,,"=""0""",,,,,,n,,,,,,,
